CancerType	ID	TopGSEA	Type
SARC	D18.10	REACTOME-BETA-DEFENSINS	Unstable
SARC	D12.8	REACTOME-BETA-DEFENSINS	Unstable
SKCM	D6.6	GNF2-SPRR1B	Primary
SKCM	D8.5	REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	Primary
SKCM	D8.2	MODULE-103	Primary
SKCM	D7.2	RUNNE-GENDER-EFFECT-UP	Unstable
SKCM	D6.2	NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	Unstable
STAD	D12.10	GNF2-SPRR1B	Primary
STAD	D6.2	NIELSEN-LEIOMYOSARCOMA-CNN1-UP	Primary
STAD	D17.11	REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	Primary
STAD	D19.8	FARMER-BREAST-CANCER-CLUSTER-5	Primary
STAD	D9.7	REACTOME-CYTOSOLIC-SULFONATION-OF-SMALL-MOLECULES	Primary
STAD	D18.18	REACTOME-DOPAMINE-NEUROTRANSMITTER-RELEASE-CYCLE	Primary
STAD	D17.8	WEBER-METHYLATED-ICP-IN-SPERM-DN	Primary
STAD	D18.17	GNF2-SPINK1	Primary
STAD	D19.16	CHROMOSOME-CONDENSATION	Primary
STAD	D18.12	MARTINELLI-IMMATURE-NEUTROPHIL-DN	Unstable
STAD	D17.6	chr11q11	Unstable
TGCT	D15.10	VALK-AML-CLUSTER-5	Primary
TGCT	D14.4	KORKOLA-EMBRYONAL-CARCINOMA	Primary
TGCT	D14.11	WEBER-METHYLATED-LCP-IN-FIBROBLAST-UP	Primary
TGCT	D8.7	KORKOLA-YOLK-SAC-TUMOR	Primary
TGCT	D16.16	CORNIFIED-ENVELOPE	Primary
TGCT	D9.1	GNF2-GLTSCR2	Primary
TGCT	D15.2	MIPS-UTX-MLL2-3-COMPLEX	Primary
TGCT	D15.8	FU-INTERACT-WITH-ALKBH8	Primary
TGCT	D8.3	NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	Primary
TGCT	D15.12	SUGAR-TRANSMEMBRANE-TRANSPORTER-ACTIVITY	Secondary
TGCT	D10.4	IONOTROPIC-GLUTAMATE-RECEPTOR-ACTIVITY	Secondary
TGCT	D18.6	MOSERLE-IFNA-RESPONSE	Secondary
THCA	D10.9	REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	Primary
THCA	D10.8	GNF2-CDH3	Primary
THCA	D10.7	CHASSOT-SKIN-WOUND	Primary
THCA	D10.6	PROTEIN-DEACETYLASE-ACTIVITY	Primary
THCA	D11.3	FARMER-BREAST-CANCER-CLUSTER-5	Primary
THCA	D11.8	BIOCARTA-ETC-PATHWAY	Unstable
THYM	D9.9	LE-SKI-TARGETS-DN	Primary
THYM	D6.1	LIANG-SILENCED-BY-METHYLATION-DN	Primary
THYM	D7.3	PATTERN-RECOGNITION-RECEPTOR-ACTIVITY	Primary
THYM	D10.5	GNF2-SERPINB5	Primary
THYM	D9.4	ZHOU-PANCREATIC-ENDOCRINE-PROGENITOR	Secondary
THYM	D7.2	PHOTOTRANSDUCTION	Unstable
UCEC	D7.6	SENGUPTA-NASOPHARYNGEAL-CARCINOMA-DN	Primary
UCEC	D12.5	REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	Primary
UCEC	D7.3	HAEGERSTRAND-RESPONSE-TO-IMATINIB	Primary
UCEC	D15.14	CORNIFIED-ENVELOPE	Primary
UCEC	D12.9	WEBER-METHYLATED-ICP-IN-SPERM-UP	Primary
UCEC	D12.4	GNF2-GLTSCR2	Primary
UCEC	D14.13	ZHOU-PANCREATIC-EXOCRINE-PROGENITOR	Primary
UCEC	D11.10	SCHLESINGER-METHYLATED-IN-COLON-CANCER	Unstable
UCEC	D15.12	chryq11	Unstable
UCEC	D12.1	MIPS-UTX-MLL2-3-COMPLEX	Unstable
UCEC	D12.2	KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN	Unstable
UCS	D7.5	DELASERNA-TARGETS-OF-MYOD-AND-SMARCA4	Primary
UCS	D10.6	BIOCARTA-CTL-PATHWAY	Primary
UCS	D5.1	MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	Primary
UCS	D9.7	NEUROTRANSMITTER-SECRETION	Primary
UCS	D11.10	AIGNER-ZEB1-TARGETS	Primary
UCS	D9.6	BIOCARTA-EXTRINSIC-PATHWAY	Primary
UCS	D13.11	JI-CARCINOGENESIS-BY-KRAS-AND-STK11-UP	Primary
UCS	D10.2	PID-VEGF-VEGFR-PATHWAY	Unstable
UCS	D14.1	CELLULAR-RESPIRATION	Unstable
UVM	D9.9	PHOTOTRANSDUCTION	Primary
UVM	D9.7	REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	Primary
UVM	D8.5	ACTIN-FILAMENT-BASED-MOVEMENT	Unstable
UVM	D11.2	GNF2-GLTSCR2	Unstable
UVM	D8.3	GCM-MAX	Unstable
UVM	D9.6	chr6p	Unstable
UVM	D9.2	REACTOME-BETA-DEFENSINS	Unstable
